Pressure,6Fold,7Fold,8Fold
1.55,0.0,0.0,0.0
1.56,0.0,0.0,0.0
1.57,0.0,0.0,0.0
1.58,0.0,0.0,0.0
1.59,0.0,0.0,0.0
1.60,0.0,0.0,0.0
1.61,0.14696999999999966,0.04969999999999992,0.01207
1.62,0.6887000000000106,0.6134400000000091,0.44588000000000577
1.63,0.707870000000011,0.7043200000000109,0.6148600000000092
1.64,0.7050300000000109,0.6972200000000108,0.6191200000000092
1.65,0.705740000000011,0.7007700000000109,0.609180000000009
1.66,0.7043200000000109,0.6816000000000105,0.5630300000000081
1.67,0.5502500000000079,0.3315700000000034,0.16401
1.68,0.010008,0.0038519999999999995,0.0014399999999999999
1.69,0.03398399999999999,0.029339999999999998,0.020772
1.70,0.03549599999999999,0.034991999999999995,0.030347999999999997
1.71,0.03582,0.035531999999999994,0.031355999999999995
1.72,0.035604,0.03531599999999999,0.030743999999999997
1.73,0.035711999999999994,0.034775999999999994,0.029087999999999996
1.74,0.029591999999999997,0.019763999999999997,0.009971999999999998
1.75,0.0006479999999999999,7.199999999999999e-05,0.0
1.76,0.0,0.0,0.0
1.77,0.0,0.0,0.0
1.78,0.0,0.0,0.0
1.79,0.0,0.0,0.0
1.80,0.0,0.0,0.0
1.81,0.0,0.0,0.0
1.82,0.0,0.0,0.0
1.83,0.0,0.0,0.0
1.84,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.86,0.000254,0.0,0.0
1.87,0.02235199999999997,0.008635999999999993,0.003048
1.88,0.15087600000000156,0.1046480000000009,0.04648200000000008
1.89,0.22809200000000265,0.2026920000000023,0.1397000000000014
1.90,0.25044400000000294,0.24130000000000285,0.1963420000000022
1.91,0.252222000000003,0.24942800000000295,0.21818600000000252
1.92,0.251714000000003,0.24866600000000294,0.21386800000000245
1.93,0.25095200000000295,0.24053800000000283,0.1963420000000022
1.94,0.20548600000000233,0.16256000000000173,0.10236200000000087
1.95,0.07874000000000053,0.035559999999999946,0.011683999999999988
1.96,0.007111999999999996,0.002032,0.000508
1.97,0.0,0.0,0.0
1.98,0.0,0.0,0.0
1.99,0.0,0.0,0.0
2.00,0.0,0.0,0.0
