Pressure,6Fold,7Fold,8Fold
3.50,7.199999999999999e-06,0.0,0.0
3.51,0.0,0.0,0.0
3.52,0.0,0.0,0.0
3.53,0.0,0.0,0.0
3.54,0.0,0.0,0.0
3.55,7.199999999999999e-06,0.0,0.0
3.56,0.019453999999999957,0.001846,0.00028399999999999996
3.57,0.33639799999998765,0.14285200000000223,0.04302600000000021
3.58,0.602931999999944,0.42543199999997305,0.21257400000000365
3.59,0.6881319999999299,0.595973999999945,0.36593399999998283
3.60,0.7041779999999274,0.662997999999934,0.47399599999996506
3.61,0.706449999999927,0.682025999999931,0.5082179999999594
3.62,0.7071671999999268,0.6838791999999306,0.5124779999999588
3.63,0.706315199999927,0.6823171999999309,0.516879999999958
3.64,0.7077279999999267,0.6848659999999305,0.5100639999999591
3.65,0.7078843999999267,0.6864351999999302,0.5224179999999571
3.66,0.7075931999999268,0.6838719999999306,0.5197199999999575
3.67,0.7073091999999268,0.6828779999999308,0.5231279999999571
3.68,0.7074439999999268,0.6828779999999308,0.5181579999999578
3.69,0.7075931999999268,0.6810391999999311,0.5157439999999582
3.70,0.7070195999999268,0.6720447999999326,0.48550519999996317
3.71,0.7134599999999259,0.6497567999999362,0.43508119999997147
3.72,0.7137671999999258,0.6084779999999431,0.32173479999999005
3.73,0.6706051999999328,0.4844835999999634,0.2035372000000035
3.74,0.5443211999999535,0.2984267999999939,0.09054720000000122
3.75,0.3498571999999854,0.1425760000000022,0.04179680000000023
3.76,0.1867136000000031,0.06774080000000068,0.02822719999999999
3.77,0.09795840000000126,0.045869600000000225,0.027212399999999994
3.78,0.06015760000000049,0.03745040000000006,0.026323199999999998
3.79,0.04748560000000023,0.036023200000000026,0.026049599999999996
3.80,0.04141360000000011,0.03524840000000001,0.026618399999999997
3.81,0.038198000000000044,0.0348892,0.026639999999999997
3.82,0.03806320000000004,0.0348728,0.026279999999999998
3.83,0.03681920000000002,0.034524,0.026063999999999997
3.84,0.03673480000000002,0.0344808,0.025430399999999995
3.85,0.0357892,0.0338256,0.024141599999999996
3.86,0.0352944,0.032471999999999994,0.021513599999999997
3.87,0.034336799999999994,0.028915199999999995,0.015580799999999999
3.88,0.03172319999999999,0.022672799999999996,0.008603999999999999
3.89,0.025257599999999998,0.013305599999999999,0.0035279999999999995
3.90,0.015191999999999999,0.005306399999999999,0.0008639999999999999
3.91,0.006782399999999999,0.0014183999999999998,0.0001512
3.92,0.0023183999999999995,0.00035999999999999997,1.4399999999999998e-05
3.93,0.0008063999999999999,0.00011519999999999998,7.199999999999999e-06
3.94,0.00028799999999999995,2.8799999999999995e-05,0.0
3.95,8.639999999999999e-05,7.199999999999999e-06,0.0
3.96,4.319999999999999e-05,0.0,0.0
3.97,2.1599999999999996e-05,0.0,0.0
3.98,1.4399999999999998e-05,0.0,0.0
3.99,2.1599999999999996e-05,0.0,0.0
4.00,0.0,0.0,0.0
4.01,0.0,0.0,0.0
4.02,0.0,0.0,0.0
4.03,0.0,0.0,0.0
4.04,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.06,0.0,0.0,0.0
4.07,0.0,0.0,0.0
4.08,0.0018795999999999984,0.000254,0.0
4.09,0.015595600000000103,0.004622799999999994,0.0009652
4.10,0.0573024000000007,0.02377440000000022,0.007010399999999989
4.11,0.1246123999999932,0.07178039999999926,0.02524760000000024
4.12,0.17830799999998703,0.13101319999999247,0.06070600000000053
4.13,0.21361399999998298,0.17282159999998767,0.0959103999999965
4.14,0.23576279999998045,0.2012187999999844,0.12181839999999351
4.15,0.2465831999999792,0.22367239999998184,0.14864079999999044
4.16,0.2505455999999788,0.23484839999998056,0.16286479999998882
4.17,0.2516631999999786,0.23733759999998028,0.17048479999998795
4.18,0.2530855999999785,0.24353519999997955,0.17739359999998713
4.19,0.25227279999997854,0.24256999999997966,0.18049239999998679
4.20,0.25303479999997847,0.24551639999997932,0.18521679999998625
4.21,0.2527807999999785,0.24541479999997934,0.18917919999998578
4.22,0.25227279999997854,0.24450039999997944,0.18496279999998627
4.23,0.2525267999999785,0.24444959999997945,0.18541999999998623
4.24,0.2527299999999785,0.24216359999997972,0.18232119999998658
4.25,0.2522219999999786,0.24089359999997986,0.1762251999999873
4.26,0.25176479999997864,0.23830279999998016,0.16748759999998827
4.27,0.2515615999999786,0.23469599999998056,0.15722599999998946
4.28,0.248259599999979,0.2240787999999818,0.13700759999999176
4.29,0.24277319999997965,0.20589239999998388,0.11663679999999411
4.30,0.2274823999999814,0.1778507999999871,0.08768079999999744
4.31,0.19720559999998488,0.13390879999999214,0.05349240000000064
4.32,0.15189199999999006,0.08641079999999758,0.027635200000000276
4.33,0.09657079999999642,0.041198800000000466,0.010515600000000033
4.34,0.04673600000000055,0.016357600000000114,0.0029463999999999966
4.35,0.017373600000000128,0.004216399999999994,0.000508
4.36,0.004622799999999994,0.0008636,5.08e-05
4.37,0.0011175999999999996,0.0001016,0.0
4.38,0.0002032,0.0,0.0
4.39,0.0,0.0,0.0
4.40,0.0,0.0,0.0
4.41,0.0,0.0,0.0
4.42,0.0,0.0,0.0
4.43,0.0,0.0,0.0
4.44,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.46,0.0,0.0,0.0
4.47,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.50,0.0,0.0,0.0
