Pressure,6Fold,7Fold,8Fold
3.50,0.0,0.0,0.0
3.51,0.0,0.0,0.0
3.52,3.5999999999999994e-06,0.0,0.0
3.53,0.0,0.0,0.0
3.54,0.0,0.0,0.0
3.55,7.099999999999999e-05,7.099999999999999e-05,0.0
3.56,0.008594599999999982,0.000568,7.099999999999999e-05
3.57,0.2940819999999732,0.11111500000000192,0.028400000000000244
3.58,0.5989595999999232,0.4088889999999543,0.1933329999999897
3.59,0.6943125999999076,0.6164965999999203,0.41478199999995335
3.60,0.7066629999999056,0.6871379999999088,0.5711239999999278
3.61,0.7083669999999053,0.703396999999906,0.6375799999999169
3.62,0.7089349999999052,0.7073729999999054,0.6644179999999125
3.63,0.7092225999999051,0.7086509999999052,0.6747839999999108
3.64,0.7091479999999051,0.7082249999999053,0.6773399999999103
3.65,0.7090059999999051,0.7084379999999052,0.6785469999999102
3.66,0.7088639999999051,0.7085089999999052,0.6768429999999104
3.67,0.7089385999999052,0.7078025999999054,0.6770559999999104
3.68,0.709289999999905,0.7080829999999053,0.6688909999999118
3.69,0.7086545999999052,0.7047459999999058,0.6396389999999166
3.70,0.7074545999999053,0.6896913999999084,0.5624691999999292
3.71,0.709308599999905,0.6441851999999157,0.4249593999999517
3.72,0.6730619999999108,0.5070669999999383,0.2316871999999834
3.73,0.5084433999999377,0.26619919999997754,0.08377560000000141
3.74,0.22357819999998435,0.082248600000001,0.029194800000000118
3.75,0.05030300000000029,0.03620060000000002,0.028529999999999996
3.76,0.035856,0.035571599999999995,0.0317412
3.77,0.03585239999999999,0.03576239999999999,0.033102
3.78,0.035881199999999995,0.035841599999999994,0.034019999999999995
3.79,0.03584879999999999,0.035783999999999996,0.03429719999999999
3.80,0.035845199999999994,0.035787599999999996,0.0341244
3.81,0.0359028,0.0358236,0.034063199999999995
3.82,0.035856,0.0357804,0.0338724
3.83,0.03584879999999999,0.035766,0.03340799999999999
3.84,0.0358128,0.03553919999999999,0.0314172
3.85,0.0357732,0.034779599999999994,0.027511199999999996
3.86,0.035301599999999995,0.032111999999999995,0.020501999999999996
3.87,0.0330588,0.0256104,0.012099599999999999
3.88,0.0262548,0.014860799999999999,0.004554
3.89,0.012725999999999998,0.004229999999999999,0.0007091999999999999
3.90,0.0023723999999999998,0.00036359999999999995,2.8799999999999995e-05
3.91,7.199999999999999e-05,3.5999999999999994e-06,0.0
3.92,0.0,0.0,0.0
3.93,0.0,0.0,0.0
3.94,3.5999999999999994e-06,0.0,0.0
3.95,0.0,0.0,0.0
3.96,0.0,0.0,0.0
3.97,3.5999999999999994e-06,3.5999999999999994e-06,0.0
3.98,3.5999999999999994e-06,0.0,0.0
3.99,3.5999999999999994e-06,0.0,0.0
4.00,3.5999999999999994e-06,3.5999999999999994e-06,0.0
4.01,0.0,0.0,0.0
4.02,0.0,0.0,0.0
4.03,0.0,0.0,0.0
4.04,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.06,0.0,0.0,0.0
4.07,0.0,0.0,0.0
4.08,0.0001524,2.54e-05,0.0
4.09,0.004292600000000003,0.0006603999999999997,2.54e-05
4.10,0.022758400000000265,0.007035800000000042,0.0013207999999999985
4.11,0.06954519999999577,0.030988000000000192,0.007366000000000046
4.12,0.1303019999999888,0.0753109999999951,0.024104600000000285
4.13,0.1765807999999835,0.12186919999998977,0.04973319999999804
4.14,0.21457919999997913,0.16700499999998458,0.08534399999999395
4.15,0.23756619999997816,0.20208239999998057,0.11948159999999004
4.16,0.24691339999998674,0.22481539999997796,0.1519427999999863
4.17,0.2508757999999904,0.23883619999997935,0.18310859999998275
4.18,0.25288239999999224,0.24627839999998616,0.2045207999999803
4.19,0.2532887999999926,0.2506979999999902,0.21884639999997865
4.20,0.2534411999999927,0.25196799999999137,0.2279649999999776
4.21,0.2534919999999928,0.252602999999992,0.23355299999997695
4.22,0.2533395999999926,0.2525775999999919,0.2366263999999773
4.23,0.25356819999999286,0.2531109999999924,0.2358643999999767
4.24,0.2536443999999929,0.252628399999992,0.2305557999999773
4.25,0.2533649999999927,0.25107899999999056,0.21899879999997862
4.26,0.2532125999999925,0.2479547999999877,0.2043683999999803
4.27,0.2523489999999917,0.24231599999998252,0.18539459999998248
4.28,0.24874219999998842,0.22938739999997743,0.15532099999998594
4.29,0.240639599999981,0.20825459999997986,0.12453619999998947
4.30,0.22316439999997814,0.17500599999998367,0.08653779999999382
4.31,0.1853437999999825,0.12407899999998952,0.0491997999999981
4.32,0.12895579999998896,0.06957059999999576,0.020853400000000237
4.33,0.07178039999999551,0.029235400000000356,0.006578600000000035
4.34,0.026771600000000322,0.008051800000000055,0.0013715999999999984
4.35,0.006527800000000035,0.0013715999999999984,0.0001016
4.36,0.0012953999999999986,0.0001524,0.0
4.37,2.54e-05,0.0,0.0
4.38,0.0,0.0,0.0
4.39,0.0,0.0,0.0
4.40,0.0,0.0,0.0
4.41,0.0,0.0,0.0
4.42,0.0,0.0,0.0
4.43,0.0,0.0,0.0
4.44,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.46,0.0,0.0,0.0
4.47,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.50,0.0,0.0,0.0
