Pressure,6Fold,7Fold,8Fold
1.550,0.0,0.0,0.0
1.555,0.0,0.0,0.0
1.560,0.0,0.0,0.0
1.565,0.0,0.0,0.0
1.570,0.0,0.0,0.0
1.575,0.0,0.0,0.0
1.580,0.0,0.0,0.0
1.585,0.0,0.0,0.0
1.590,0.0,0.0,0.0
1.595,0.0,0.0,0.0
1.600,0.0,0.0,0.0
1.605,0.0,0.0,0.0
1.610,0.0,0.0,0.0
1.615,0.0,0.0,0.0
1.620,0.0,0.0,0.0
1.625,0.02470800000000017,0.0036209999999999953,7.099999999999999e-05
1.630,0.3535799999999634,0.16152499999999492,0.05183000000000072
1.635,0.587737999999925,0.4135039999999536,0.19595999999998928
1.640,0.6604419999999132,0.5568529999999301,0.3116189999999703
1.645,0.661577999999913,0.5616099999999293,0.3114769999999703
1.650,0.5927789999999242,0.41258099999995373,0.19248099999998985
1.655,0.3292269999999674,0.14121899999999826,0.042174000000000524
1.660,0.021655000000000108,0.002626999999999998,0.00014199999999999998
1.665,0.0,0.0,0.0
1.670,0.0,0.0,0.0
1.675,0.0,0.0,0.0
1.680,0.0,0.0,0.0
1.685,0.0,0.0,0.0
1.690,7.199999999999999e-06,0.0,0.0
1.695,0.0029303999999999997,0.0006804,0.0001224
1.700,0.0181116,0.008902799999999999,0.0030779999999999996
1.705,0.029498399999999998,0.0210168,0.010051199999999998
1.710,0.0332028,0.027395999999999997,0.015069599999999999
1.715,0.03336479999999999,0.027860399999999997,0.015447599999999999
1.720,0.029797199999999996,0.021074399999999997,0.0094536
1.725,0.018594,0.0086328,0.0026063999999999996
1.730,0.0029807999999999996,0.0006551999999999999,0.00010079999999999998
1.735,7.199999999999999e-06,3.5999999999999994e-06,0.0
1.740,0.0,0.0,0.0
1.745,0.0,0.0,0.0
1.750,0.0,0.0,0.0
1.755,0.0,0.0,0.0
1.760,0.0,0.0,0.0
1.765,0.0,0.0,0.0
1.770,0.0,0.0,0.0
1.775,0.0,0.0,0.0
1.780,0.0,0.0,0.0
1.785,0.0,0.0,0.0
1.790,0.0,0.0,0.0
1.795,0.0,0.0,0.0
1.800,0.0,0.0,0.0
1.805,0.0,0.0,0.0
1.810,0.0,0.0,0.0
1.815,0.0,0.0,0.0
1.820,0.0,0.0,0.0
1.825,0.0,0.0,0.0
1.830,0.0,0.0,0.0
1.835,0.0,0.0,0.0
1.840,0.0,0.0,0.0
1.845,0.0,0.0,0.0
1.850,0.0,0.0,0.0
1.855,0.0,0.0,0.0
1.860,0.0,0.0,0.0
1.865,0.0,0.0,0.0
1.870,0.0,0.0,0.0
1.875,2.54e-05,0.0,0.0
1.880,0.0006095999999999997,2.54e-05,0.0
1.885,0.008585200000000064,0.0024383999999999964,0.000254
1.890,0.03975099999999918,0.015138400000000156,0.003301999999999995
1.895,0.09969499999999232,0.051434999999997844,0.01600200000000017
1.900,0.1574291999999857,0.10147299999999211,0.03832859999999935
1.905,0.1958085999999813,0.1426209999999874,0.06347459999999647
1.910,0.2192273999999786,0.16537939999998477,0.08026399999999453
1.915,0.21549359999997902,0.15803879999998563,0.07211059999999547
1.920,0.19004279999998194,0.128574799999989,0.052247799999997756
1.925,0.1397507999999877,0.07955279999999462,0.025146000000000297
1.930,0.0754125999999951,0.03190240000000009,0.008026400000000055
1.935,0.026187400000000312,0.008940800000000068,0.0016763999999999978
1.940,0.005613400000000022,0.0013715999999999984,0.000254
1.945,0.000254,2.54e-05,0.0
1.950,0.0,0.0,0.0
1.955,0.0,0.0,0.0
1.960,0.0,0.0,0.0
1.965,0.0,0.0,0.0
1.970,0.0,0.0,0.0
1.975,0.0,0.0,0.0
1.980,0.0,0.0,0.0
1.985,0.0,0.0,0.0
1.990,0.0,0.0,0.0
1.995,0.0,0.0,0.0
2.000,0.0,0.0,0.0
