"Wavelength, µm","n"
0.0299919,0.925222
0.0301236,0.924148
0.0302558,0.922739
0.0303887,0.921308
0.0305221,0.920206
0.030656,0.919301
0.0307906,0.918523
0.0309258,0.917841
0.0310616,0.917236
0.0311979,0.916696
0.0313349,0.916211
0.0314724,0.915775
0.0316106,0.915383
0.0317494,0.915031
0.0318887,0.914714
0.0320287,0.91443
0.0321693,0.914176
0.0323105,0.91395
0.0324524,0.913749
0.0325948,0.913572
0.0327379,0.913417
0.0328817,0.913282
0.033026,0.913166
0.033171,0.913068
0.0333166,0.912986
0.0334629,0.912919
0.0336098,0.912866
0.0337573,0.912826
0.0339055,0.912798
0.0340543,0.91278
0.0342038,0.912773
0.034354,0.912774
0.0345048,0.912782
0.0346563,0.912798
0.0348084,0.91282
0.0349612,0.912848
0.0351147,0.912879
0.0352688,0.912914
0.0354237,0.912952
0.0355792,0.912992
0.0357354,0.913032
0.0358922,0.913073
0.0360498,0.913113
0.036208,0.913151
0.036367,0.913187
0.0365266,0.91322
0.036687,0.913249
0.036848,0.913273
0.0370098,0.91329
0.0371723,0.913301
0.0373355,0.913304
0.0374994,0.913298
0.037664,0.913282
0.0378293,0.913256
0.0379954,0.913217
0.0381622,0.913165
0.0383297,0.913099
0.038498,0.913018
0.038667,0.912919
0.0388367,0.912803
0.0390072,0.912667
0.0391784,0.912509
0.0393504,0.912329
0.0395232,0.912124
0.0396967,0.911892
0.0398709,0.911631
0.040046,0.911338
0.0402218,0.911008
0.0403983,0.910638
0.0405757,0.910215
0.0407538,0.909729
0.0409327,0.909201
0.0411124,0.90865
0.0412929,0.908066
0.0414742,0.907445
0.0416562,0.906781
0.0418391,0.906068
0.0420228,0.905303
0.0422072,0.90448
0.0423925,0.903592
0.0425786,0.902633
0.0427655,0.901596
0.0429533,0.900471
0.0431418,0.899248
0.0433312,0.897915
0.0435214,0.896456
0.0437125,0.894851
0.0439044,0.893073
0.0440971,0.89108
0.0442907,0.888807
0.0444851,0.886119
0.0446804,0.882553
0.0448766,0.878348
0.0450736,0.874226
0.0452714,0.870237
0.0454702,0.866251
0.0456698,0.862125
0.0458703,0.85764
0.0460716,0.852194
0.0462739,0.845459
0.046477,0.838358
0.0466811,0.831821
0.046886,0.825903
0.0470918,0.820443
0.0472985,0.815318
0.0475062,0.810427
0.0477147,0.80568
0.0479242,0.800983
0.0481346,0.796222
0.0483459,0.791246
0.0485581,0.785807
0.0487713,0.779386
0.0489854,0.770125
0.0492004,0.757826
0.0494164,0.745432
0.0496333,0.734677
0.0498512,0.725503
0.0500701,0.717622
0.0502899,0.710787
0.0505106,0.704736
0.0507324,0.698967
0.0509551,0.69219
0.0511788,0.686577
0.0514034,0.685944
0.0516291,0.686235
0.0518557,0.683942
0.0520834,0.684162
