Diaphragm,6Fold,7Fold,8Fold
1,0.152146,0.102616,0.041148
1.1,0.165862,0.11684,0.058166
1.2,0.190754,0.144272,0.07366
1.3,0.202946,0.164846,0.086614
1.4,0.217424,0.173228,0.10668
1.5,0.223774,0.190754,0.11811
1.6,0.22987,0.197612,0.128016
1.7,0.236982,0.205994,0.138684
1.8,0.241554,0.221234,0.151384
1.9,0.243332,0.22352,0.156718
2,0.24892,0.23368,0.174498
2.1,0.249428,0.23622,0.17526
2.2,0.251714,0.239522,0.183642
2.3,0.25273,0.24638,0.188976
2.4,0.252476,0.246126,0.196596
2.5,0.253238,0.245872,0.199136
2.6,0.252984,0.244856,0.20193
2.7,0.253492,0.249682,0.20828
2.8,0.251968,0.249174,0.217932
2.9,0.253746,0.24892,0.210566
3,0.25273,0.248666,0.213868
3.1,0.253492,0.250444,0.214122
3.2,0.253238,0.250444,0.216408
3.3,0.253492,0.25019,0.216662
3.4,0.252984,0.249174,0.216662
3.5,0.252984,0.251206,0.218694
3.6,0.253238,0.249682,0.216408
3.7,0.25273,0.250952,0.21463
3.8,0.253238,0.25146,0.219456
3.9,0.253238,0.250698,0.219202
4,0.252984,0.250444,0.216154
4.1,0.253492,0.249428,0.219202
4.2,0.253238,0.249428,0.2159
4.3,0.253492,0.250698,0.214884
4.4,0.253492,0.251206,0.220726
4.5,0.253746,0.251968,0.221488
4.6,0.253238,0.25146,0.221742
4.7,0.253746,0.251714,0.223012
4.8,0.253746,0.250952,0.216408
4.9,0.253746,0.251714,0.22225
5,0.252984,0.250952,0.227838
5.1,0.253746,0.251968,0.217932
5.2,0.253238,0.250952,0.219202
5.3,0.253238,0.250952,0.218694
5.4,0.253492,0.250698,0.220218
5.5,0.253492,0.251206,0.218948
5.6,0.253746,0.250444,0.220472
5.7,0.253492,0.251206,0.220218
5.8,0.253238,0.25019,0.21717
5.9,0.253746,0.250952,0.21844
6,0.254,0.251968,0.22352
6.1,0.253238,0.251206,0.216916
6.2,0.253238,0.248412,0.216916
6.3,0.253492,0.250444,0.218694
6.4,0.253238,0.251714,0.223266
6.5,0.253746,0.251714,0.220472
6.6,0.253238,0.249936,0.224028
6.7,0.253238,0.249682,0.221742
6.8,0.253492,0.249682,0.2159
6.9,0.253238,0.251206,0.22098
7,0.253746,0.25146,0.221488
7.1,0.253238,0.251206,0.218186
7.2,0.253238,0.251206,0.224028
7.3,0.253746,0.252222,0.222504
7.4,0.253492,0.25146,0.220218
7.5,0.253238,0.250952,0.219202
7.6,0.253238,0.250444,0.216916
7.7,0.253492,0.250698,0.221742
7.8,0.253492,0.250444,0.220472
7.9,0.253746,0.252476,0.220218
8,0.254,0.251714,0.218186
8.1,0.253492,0.250952,0.219964
8.2,0.254,0.251714,0.22352
8.3,0.253492,0.251206,0.214122
8.4,0.253238,0.249428,0.217424
8.5,0.253492,0.251206,0.216408
8.6,0.253492,0.249682,0.218186
8.7,0.253238,0.250952,0.222504
8.8,0.253492,0.250698,0.21844
8.9,0.253492,0.252476,0.219202
9,0.25273,0.250952,0.221234
9.1,0.253746,0.250698,0.216662
9.2,0.254,0.251968,0.220218
9.3,0.253746,0.251714,0.220218
9.4,0.253746,0.250698,0.215392
9.5,0.253492,0.251206,0.21717
9.6,0.253492,0.251206,0.217932
9.7,0.25273,0.251714,0.22098
9.8,0.252984,0.250444,0.21971
9.9,0.253492,0.251206,0.218948
10,0.253746,0.252222,0.222504
10.1,0.253746,0.250698,0.221234
10.2,0.254,0.250952,0.221742
10.3,0.253746,0.251206,0.218186
10.4,0.253746,0.250444,0.21717
10.5,0.253492,0.251714,0.215392
10.6,0.253746,0.249428,0.21971
10.7,0.254,0.251714,0.217678
10.8,0.253492,0.251968,0.21971
10.9,0.253746,0.251714,0.219964
11,0.253238,0.249936,0.218694
11.1,0.253746,0.251714,0.219202
11.2,0.253746,0.251206,0.219964
11.3,0.253746,0.25019,0.218948
11.4,0.253492,0.25146,0.21463
