Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Diaphragm

2022-11-04 22:27:21.735,69468,66037,66718,68919,68901,69692,65671,66393,62157,49071,23314,275609,541799,2.001

2022-11-04 22:27:36.135,72280,68207,68746,71013,70744,72013,67654,68616,63983,50851,24491,283696,559273,2.001

2022-11-04 22:27:50.535,69776,66212,66541,68882,68570,69521,65804,66629,62322,49332,23301,276367,541935,2.001

2022-11-04 22:28:04.935,69802,65862,66334,68545,68635,69456,65613,66396,62029,49303,23426,276495,540643,2.001

2022-11-04 22:28:19.335,70151,66372,66771,69524,68938,70113,66184,66619,62515,49490,23586,280276,544672,2.001

2022-11-04 22:28:33.735,67934,64543,64879,67403,67108,67987,64099,64827,60488,47875,22679,270073,528780,2.001

2022-11-04 22:28:48.135,77707,71056,74150,77643,79598,79356,71469,71147,65328,55765,30362,280254,602126,4.981

2022-11-04 22:29:02.535,78161,71255,74413,77917,80375,80358,71507,71426,65405,55902,30468,280729,605412,4.981

2022-11-04 22:29:16.935,77320,69753,73078,77108,79194,79000,70634,70228,64414,54842,29905,275880,596315,4.981

2022-11-04 22:29:31.335,81075,72875,78072,82502,84782,85923,73574,73297,65133,55714,30342,278397,632100,7.983

2022-11-04 22:29:45.735,83576,74947,81376,85427,87552,88726,75671,74732,66332,56674,30997,283535,652007,10.112

2022-11-04 22:30:00.135,86573,76431,83524,87233,90782,89711,76210,78399,65237,55928,30674,277981,668863,10.985

2022-11-04 22:30:14.535,90075,80273,86626,90453,92559,92944,80075,81198,69148,57963,31293,277736,694203,12.645

2022-11-04 22:30:28.935,104390,87741,95909,100909,113356,100224,88080,93194,76677,65797,36076,282911,783803,13.986

2022-11-04 22:30:43.335,103287,86777,94603,99655,111126,98816,87135,91800,75621,64596,35329,280202,773199,13.986

2022-11-04 22:30:57.735,261114,257690,262122,252008,249978,243343,253772,261774,233461,161695,68088,280774,2041801,16.009

2022-11-04 22:31:12.135,245068,238338,248280,234089,231304,220095,227457,250340,196158,122054,48870,278409,1894971,16.009

2022-11-04 22:31:26.535,250612,243959,251844,239374,236108,227668,235257,253391,208715,136572,56276,277801,1938213,17.563

2022-11-04 22:31:40.935,277207,271094,268806,269092,276850,263214,274878,267278,264957,212349,103568,275165,2168419,19.011

2022-11-04 22:31:55.335,281241,276446,274284,273960,282916,268127,279645,272665,269894,217070,106512,279647,2209284,19.011

2022-11-04 22:32:09.735,274878,269794,267818,267986,275699,261725,273828,266403,263559,211835,104097,273171,2158131,19.011

2022-11-04 22:32:24.135,280197,275783,273921,272962,281047,266659,279373,271832,269066,216247,105898,278893,2201774,19.011

2022-11-04 22:32:38.535,278551,273881,271413,271462,278962,265118,277531,269882,267171,214780,105472,276808,2186800,19.011

2022-11-04 22:32:52.935,431,198,430,279,314,356,132,207,2,1,0,9,2347,19.011

2022-11-04 22:33:07.335,349,235,412,317,283,386,141,215,2,2,0,6,2338,19.011

2022-11-04 22:33:21.735,309,210,471,290,322,293,142,211,1,0,0,6,2248,19.011

2022-11-04 22:33:36.135,395,191,479,313,274,299,165,231,1,0,0,8,2347,19.011

2022-11-04 22:33:50.535,374,235,475,311,305,379,162,213,6,1,0,6,2454,19.011

2022-11-04 22:34:04.935,349,234,410,247,319,325,150,242,4,1,0,8,2276,19.011

2022-11-04 22:34:19.335,282124,276804,274341,273107,280725,266988,279917,272296,269677,216560,106210,279338,2206302,19.011

2022-11-04 22:34:33.735,281903,277064,274890,274632,281814,267333,280574,272748,270253,217420,106396,280025,2210958,19.011

2022-11-04 22:34:48.135,285149,280416,278004,277538,285684,271324,284153,276151,273351,219927,107824,283459,2238419,19.011

2022-11-04 22:35:02.535,277806,273177,271877,270691,278884,264679,276987,269584,266899,214678,105196,276419,2183685,19.011

2022-11-04 22:35:16.935,281554,276687,274409,275171,281807,267944,280800,272871,269944,217250,106834,279823,2211243,19.011

2022-11-04 22:35:31.335,279250,274680,273220,272662,280685,266374,278400,270999,268009,215688,105437,278004,2196270,19.011

2022-11-04 22:35:45.735,282545,276367,274704,275063,281866,268222,280754,272725,270152,217242,106455,280051,2212246,19.011

2022-11-04 22:36:00.135,254629,249978,258749,243920,240885,233053,242050,259993,214333,137259,55508,284220,1983257,16.03

2022-11-04 22:36:14.535,246676,239453,249833,234749,231069,220429,227426,253034,192714,118503,47651,283410,1902669,15.988

2022-11-04 22:36:28.935,93631,82681,88995,94534,92991,97164,82645,83976,73780,62199,33455,275735,716617,13.028

2022-11-04 22:36:43.335,94226,83994,90718,95519,95645,98112,84644,85225,74961,63579,34290,278270,728083,13.028

2022-11-04 22:36:57.735,96205,85205,92268,96709,96925,99693,86174,86078,76153,64511,34956,281625,739257,13.028

2022-11-04 22:37:12.135,83718,74197,80315,84886,85840,88490,74770,74309,65597,55986,30361,280586,646525,9.984

2022-11-04 22:37:26.535,82571,73153,79536,83896,85396,87551,73349,73462,64506,55026,29882,277805,638914,9.984

2022-11-04 22:37:40.935,81758,73228,78194,82474,83736,85127,73879,72929,65956,56113,30356,283378,631325,7.025

2022-11-04 22:37:55.335,79801,71411,76521,80190,82058,83127,71875,71272,64421,54872,29693,276694,616255,7.025

2022-11-04 22:38:09.735,75562,69157,71338,75045,76875,76817,69521,68687,64280,54705,29616,276315,583002,3.981

2022-11-04 22:38:24.135,76190,69769,72628,75816,78032,77425,70634,69841,65137,55523,30298,278975,590335,3.981

2022-11-04 22:38:38.535,74673,68401,70450,74112,76348,75984,68984,68339,63649,54459,29657,273431,577291,3.981

2022-11-04 22:38:52.935,76083,69594,72112,75392,77372,76708,70289,69538,64727,55182,29988,277512,587088,3.981

2022-11-04 22:39:07.335,76958,70370,72990,76171,78723,77853,71118,70318,65376,55844,30527,280684,594501,3.981

2022-11-04 22:39:21.735,75890,68960,71610,75007,77363,76955,69966,69368,64345,54951,29700,276101,585119,3.981

2022-11-04 22:39:36.135,75993,69553,72157,75907,78360,77181,70516,70185,64998,55698,30318,279150,589852,3.981

2022-11-04 22:39:50.535,77928,71372,74078,76833,79592,78854,72052,71156,66218,56638,30667,285094,601865,3.981

2022-11-04 22:40:04.935,74021,68270,69953,73281,75268,74350,68977,68741,64206,54420,29190,277393,572861,3.023

2022-11-04 22:40:19.335,75187,69622,71354,74078,75679,74632,69629,69332,64983,55170,29582,281305,579513,3.023

2022-11-04 22:40:33.735,72769,67852,69395,71700,72601,72207,68070,68387,63964,52309,26177,279531,562981,2.065

2022-11-04 22:40:48.135,72880,67970,69016,72321,73211,72828,67949,68058,63708,53393,28152,274145,564233,2.703

2022-11-04 22:41:02.535,73152,67711,69539,72367,72944,72545,68163,68178,63850,53677,28255,275730,564599,2.703

2022-11-04 22:41:16.935,73624,68687,69757,72959,74360,73950,68727,68663,64461,54142,28513,280200,570727,2.703

2022-11-04 22:41:31.335,73061,67881,68923,71781,72680,72511,68093,68172,64051,53156,27102,279406,563102,2.405

2022-11-04 22:41:45.735,72270,67012,67813,70698,71425,72076,67309,67040,63186,52058,26465,276208,555643,2.405

2022-11-04 22:42:00.135,70567,66921,67624,70283,70410,71103,67251,67658,62474,49208,23494,282519,551817,1.149

2022-11-04 22:42:14.535,71333,66974,68147,70094,70172,71118,66924,67366,63220,50645,24469,281083,552128,2.086

2022-11-04 22:42:28.935,70955,66719,67890,70079,69670,70670,66586,67316,62991,50597,24453,279077,549885,2.086

2022-11-04 22:42:43.335,70619,66383,67395,70023,69616,69917,66417,67066,62770,50008,23854,279333,547436,1.916

2022-11-04 22:42:57.735,60896,59754,60323,63059,61013,63061,60064,62419,52475,34688,13078,279681,490589,1.809

2022-11-04 22:43:12.135,68977,65669,66252,68241,67112,69158,64810,65899,61246,47105,21094,279474,536118,1.809

2022-11-04 22:43:26.535,65145,63662,64222,66612,64291,66820,63179,65232,58243,40519,15554,285855,519163,1.511

2022-11-04 22:43:40.935,65185,63325,63401,65849,63832,66046,62498,64459,58442,41517,16536,279673,514595,1.511

2022-11-04 22:43:55.335,64685,62749,63257,65379,63251,65990,62223,64048,58097,41285,16289,276475,511582,1.511

2022-11-04 22:44:09.735,66333,64261,64452,66925,64836,67144,63555,65325,59446,42187,16821,283260,522831,1.511

2022-11-04 22:44:24.135,64874,62723,63109,65416,63027,65534,61780,63659,57909,41099,16294,275981,510122,1.511

2022-11-04 22:44:38.535,64961,62570,63219,65243,63034,65540,61891,63793,57843,41166,16435,276652,510251,1.511

2022-11-04 22:44:52.935,66174,64194,64132,67043,64947,66991,63348,65226,59154,42187,16816,283053,522055,1.532

2022-11-04 22:45:07.335,63701,61670,61804,63861,61808,64277,60916,62575,56937,40439,16090,272625,500612,1.532

2022-11-04 22:45:21.735,49620,50107,50202,54624,51298,54448,51793,55158,37810,20654,6135,274568,417250,1.17

2022-11-04 22:45:36.135,59062,58960,59232,62387,58405,62135,58697,61537,50966,30464,9419,285339,480415,1.17

2022-11-04 22:45:50.535,58328,57707,57846,60749,57172,61373,57469,60258,49532,29572,9244,278814,470902,1.17

2022-11-04 22:46:04.935,57618,58012,57786,61058,57112,61452,57662,60577,49683,29747,9291,279276,471277,1.17

2022-11-04 22:46:19.335,52239,53355,53658,57774,53652,57707,53694,57232,41777,21754,5730,275526,439311,1.0

2022-11-04 22:46:33.735,52689,53180,53095,57411,52950,57508,53609,56942,41668,21512,5634,276932,437384,1.0

2022-11-04 22:46:48.135,51340,52307,52224,56798,52383,56845,52966,55942,40749,21015,5555,274492,430805,1.0

2022-11-04 22:47:02.535,53416,53646,54048,58775,53771,58549,54550,57819,42109,21670,5709,282500,444574,1.0

2022-11-04 22:47:16.935,47558,48102,49051,55421,49491,54345,50747,53996,32944,14639,3346,282479,408711,0.787

2022-11-04 22:47:31.335,44753,45175,45740,52762,46999,52314,48798,51936,27668,10957,2131,282447,388477,0.787

2022-11-04 22:47:45.735,44207,44563,45396,52371,46492,51493,48154,50976,26944,10739,2006,279465,383652,0.787

2022-11-04 22:48:00.135,44236,44438,45093,52672,46188,51126,48239,51027,27068,10633,2019,278477,383019,0.787

2022-11-04 22:48:14.535,43605,44468,44475,51954,45844,51398,48031,50689,26795,10464,2030,278035,380464,0.787

2022-11-04 22:48:28.935,45751,45038,45515,53020,46659,52453,48986,51274,27277,10752,2008,283464,388696,0.787

2022-11-04 22:48:43.335,44660,44918,44650,53202,46274,52016,48211,50934,26990,10656,2051,279082,384865,0.787

2022-11-04 22:48:57.735,43964,44011,44517,52179,45744,51143,47546,50203,26500,10432,1948,275991,379307,0.787

2022-11-04 22:49:12.135,43796,43943,44405,52085,45943,51318,47858,50255,26637,10343,1967,276586,379603,0.787

2022-11-04 22:49:26.535,44502,44460,44945,52889,46518,52370,48370,51016,27090,10648,1979,281334,385070,0.787

2022-11-04 22:49:40.935,43838,44451,44858,52291,46182,51820,47679,50796,26844,10485,1965,278780,381915,0.787

2022-11-04 22:49:55.335,44867,45202,45403,53331,46850,52292,48783,51349,27097,10703,2086,285035,388077,0.787

2022-11-04 22:50:09.735,44707,44368,45536,52899,46833,52754,48269,50885,27221,10645,2001,280906,386251,0.787

2022-11-04 22:50:24.135,8715,8678,8934,10382,9267,10393,9378,9948,5313,2078,401,55141,75695,0.787

2022-11-04 22:50:38.535,44257,44581,45132,52289,47135,51772,48145,50719,26962,10639,1987,280875,384030,0.787

2022-11-04 22:50:52.935,43477,43604,44135,51842,45710,50254,46898,49936,26433,10452,2006,275167,375856,0.787

2022-11-04 22:51:07.335,44286,44550,45027,52591,46523,51888,47863,50552,26872,10388,2032,280253,383280,0.787

2022-11-04 22:51:21.735,44473,44924,44924,53079,47190,52174,48273,51320,27152,10567,2043,282973,386357,0.787

2022-11-04 22:51:36.135,43948,43715,44601,52296,46102,51415,47517,50404,26612,10498,1947,277388,379998,0.787

2022-11-04 22:51:50.535,226,132,347,218,240,262,82,111,0,0,0,8,1618,0.787

2022-11-04 22:52:04.935,266,175,351,186,225,176,99,88,0,0,0,3,1566,0.787

2022-11-04 22:52:19.335,233,153,336,173,183,234,90,88,0,0,0,7,1490,0.787

2022-11-04 22:52:33.735,247,128,339,211,166,254,81,109,0,0,0,10,1535,0.787

2022-11-04 22:52:48.135,45534,45628,45760,53079,47201,51491,48049,51795,27172,10636,2060,283016,388537,0.787

2022-11-04 22:53:02.535,45233,44915,45654,53299,47630,52576,48581,51312,27324,10619,2032,283092,389200,0.787

2022-11-04 22:53:16.935,43539,43643,43879,51806,46267,51073,47449,50005,26610,10453,2053,276146,377661,0.787

2022-11-04 22:53:31.335,44484,44345,45031,52762,47162,51821,47959,51113,27228,10834,2024,281581,384677,0.787

2022-11-04 22:53:45.735,44033,44060,44847,52715,46982,51988,47589,50809,26941,10573,1974,277953,383023,0.787

2022-11-04 22:54:00.135,43902,44126,44671,52469,46558,51113,47920,50604,26914,10408,2007,278866,381363,0.787

2022-11-04 22:54:14.535,44299,44505,44771,52626,47130,52504,48271,51081,27192,10814,2093,282047,385187,0.787

2022-11-04 22:54:28.935,44447,44121,44822,52449,46882,51783,48014,50660,26929,10638,2092,277457,383178,0.787

2022-11-04 22:54:43.335,44829,44581,44964,52862,47353,51596,47986,50867,27011,10579,1995,280746,385038,0.787

2022-11-04 22:54:57.735,43941,43993,44624,52256,46947,51474,47861,50343,26852,10428,2000,278465,381439,0.787

2022-11-04 22:55:12.135,43774,43996,44553,52044,46615,51283,47566,50559,26689,10648,2021,278547,380390,0.787

2022-11-04 22:55:26.535,44725,44687,45532,53592,47575,51903,48498,51245,27504,10737,2028,283377,387757,0.787

2022-11-04 22:55:40.935,45392,44782,45465,53452,47647,52822,48708,51574,27601,10752,1982,282799,389842,0.787

2022-11-04 22:55:55.335,44726,44693,45275,53079,47058,51948,48484,51194,27372,10871,2048,281538,386457,0.787

2022-11-04 22:56:09.735,44223,44312,45318,52759,47226,52474,48177,50806,27117,10657,1994,280351,385295,0.787

2022-11-04 22:56:24.135,45166,44946,45248,52931,47822,52678,48917,51685,27480,10842,2026,284285,389393,0.787

2022-11-04 22:56:38.535,44836,44300,44971,52528,46677,51808,48108,50725,27017,10562,2035,278621,383953,0.787

2022-11-04 22:56:52.935,43867,44287,44978,52420,46894,51766,47642,50395,26991,10682,2007,278389,382249,0.787

2022-11-04 22:57:07.335,43890,43512,44300,51941,46686,51378,47250,50224,26542,10516,1995,275933,379181,0.787

2022-11-04 22:57:21.735,43766,44017,44733,52042,46754,51330,47633,50284,26814,10608,2017,276736,380559,0.787

2022-11-04 22:57:36.135,64321,60123,60200,65293,62652,66175,60634,61087,53287,39056,17501,276332,500485,2.128

2022-11-04 22:57:50.535,70582,65735,66445,69646,69495,70613,65693,65986,62436,49393,23139,278490,544195,2.022

2022-11-04 22:58:04.935,69019,64600,65050,68159,68317,68950,64382,64872,61177,48727,23381,272706,533349,2.022

2022-11-04 22:58:19.335,71698,67746,68229,71003,71341,71837,67476,68014,63887,50896,24173,283642,557344,2.022

2022-11-04 22:58:33.735,70924,66890,68037,70387,71165,70363,66653,67476,63112,50406,24125,281376,551895,2.022

2022-11-04 22:58:48.135,70971,66999,67855,70115,70775,70388,66709,67669,63316,50510,24220,280119,551481,2.022

2022-11-04 22:59:02.535,70221,66288,67195,69314,69794,69842,65678,66423,62379,49672,23830,277889,544755,2.022

2022-11-04 22:59:16.935,69807,65749,66635,69266,69077,70037,65375,66333,61979,49414,23751,277198,542279,2.022

2022-11-04 22:59:31.335,72002,68056,68282,71409,71619,71402,67942,68375,63970,50955,24375,283505,559087,2.022

2022-11-04 22:59:45.735,71302,67134,67959,70444,70557,70668,66837,67494,63185,50533,24207,281223,552395,2.022

2022-11-04 23:00:00.135,71336,67698,68805,70897,71245,71132,67622,68093,64020,50964,24315,283916,556828,2.022

2022-11-04 23:00:14.535,71708,67538,68546,70410,71239,71671,67245,68094,63776,50703,24157,281232,556451,2.022

