Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Diaphragm
2022-11-07 21:57:24.135,177353,184513,171997,191446,182676,186198,191839,185435,176075,132181,58064,268508,1471457,1.064
2022-11-07 21:57:38.535,195415,194247,184408,200233,196870,193128,198769,193362,187249,150642,74979,272162,1556432,3.214
2022-11-07 21:57:52.935,221220,210402,203748,216099,220340,207403,212225,208130,205289,175294,96169,271020,1699567,5.577
2022-11-07 21:58:07.335,222122,209751,205239,215316,220448,205859,211184,207983,204360,176714,98574,267586,1697902,10.005
2022-11-07 21:58:21.735,138620,130615,128206,134476,137864,128667,132109,129449,126563,110135,62389,165399,1060006,14.881
2022-11-07 21:58:36.135,288339,275067,265454,281531,286517,266958,277587,271851,269235,230461,127842,271331,2213304,18.925
2022-11-07 21:58:50.535,291523,276713,267001,283911,287545,267844,278175,273467,271087,234173,131083,271679,2226179,19.011
2022-11-07 21:59:04.935,283974,271450,260859,277691,283372,264559,275086,268701,265570,224899,123163,269538,2185692,17.946
2022-11-07 21:59:19.335,283931,271351,261299,278346,282867,264273,274612,269079,266071,226955,124500,268809,2185758,18.01
2022-11-07 21:59:33.735,276635,265836,254268,272806,277719,260461,271073,262917,259437,217583,117860,265870,2141715,17.265
2022-11-07 21:59:48.135,272569,263311,249640,271616,277391,262913,273426,260142,252209,205190,110213,271225,2131008,17.009
2022-11-07 22:00:02.535,249603,237576,228662,249711,258270,248006,255824,236514,213124,182519,103347,271736,1964166,15.988
2022-11-07 22:00:16.935,247065,235096,225849,246282,254665,244791,252278,233580,210575,179883,101617,267947,1939606,15.988
2022-11-07 22:00:31.335,232518,218374,213531,228170,235552,223835,228005,217241,206683,179655,101551,269526,1797226,14.987
2022-11-07 22:00:45.735,233536,219793,215616,230144,237947,225479,229637,219047,208203,181395,102839,271382,1811199,14.987
2022-11-07 22:01:00.135,231165,217770,213295,225640,232154,218147,223113,216340,208848,181863,103228,272110,1777624,14.795
2022-11-07 22:01:14.535,226609,212735,208751,219675,225228,210756,216051,211277,206318,179735,101523,269000,1731082,13.986
2022-11-07 22:01:28.935,226746,213744,209895,220270,224698,210074,215430,212432,208200,180737,102007,271965,1733289,13.007
2022-11-07 22:01:43.335,221364,209602,205585,215629,220188,205967,210744,208182,203997,177236,99651,266529,1697261,12.007
2022-11-07 22:01:57.735,60,26,177,52,95,109,22,51,0,0,0,0,592,11.006
2022-11-07 22:02:12.135,55,19,181,45,77,86,21,52,0,0,0,0,536,11.006
2022-11-07 22:02:26.535,67,19,179,49,84,50,12,42,0,0,0,0,502,11.006
2022-11-07 22:02:40.935,49,19,199,40,74,102,16,48,0,0,0,0,547,11.006
2022-11-07 22:02:55.335,221467,209834,205871,215435,219981,205634,211168,207501,203913,176464,98982,267231,1696891,11.006
2022-11-07 22:03:09.735,224715,212730,208410,218829,222848,208902,213786,210661,206889,179100,100680,270371,1720881,11.006
2022-11-07 22:03:24.135,221950,209925,205225,215581,219800,205484,210970,207732,204116,176414,98515,267608,1696667,10.005
2022-11-07 22:03:38.535,222615,210699,206207,216893,221525,206939,212325,209307,205353,177277,98974,269580,1706510,10.005
2022-11-07 22:03:52.935,221556,210063,205554,215791,220976,206755,211354,208356,204719,176597,98328,268679,1700405,9.005
2022-11-07 22:04:07.335,224357,212054,207226,217911,222124,208348,213607,209982,206490,178138,98951,270514,1715609,9.005
2022-11-07 22:04:21.735,223347,211731,206779,217285,221882,208120,213145,209992,206373,177613,98102,271046,1712281,8.004
2022-11-07 22:04:36.135,222612,210372,205398,216269,220401,206545,211734,208615,205230,176763,97600,269238,1701946,8.004
2022-11-07 22:04:50.535,221486,209085,204686,215144,219247,205680,211014,207491,203931,176115,97837,267919,1693833,8.004
2022-11-07 22:05:04.935,224052,212009,207229,217747,222710,209301,213764,210300,207174,177834,97923,272071,1717112,7.004
2022-11-07 22:05:19.335,222780,210754,205890,216606,221651,207611,212628,209140,205874,177179,97576,270815,1707060,7.004
2022-11-07 22:05:33.735,223186,210577,205154,215938,220503,207090,212217,208653,205478,176818,97566,270703,1703318,6.003
2022-11-07 22:05:48.135,222125,210469,204893,215544,220133,206749,211773,208844,205264,176277,97098,269927,1700530,6.003
2022-11-07 22:06:02.535,218656,207767,201648,213270,217463,204914,210369,206471,203015,173097,94292,268363,1680558,5.002
2022-11-07 22:06:16.935,214538,203586,196797,209040,214834,202474,208427,201853,195501,167541,92650,269495,1651549,4.002
2022-11-07 22:06:31.335,209897,199243,193714,204555,208591,196500,202009,197224,194411,166632,91913,268441,1611733,3.023
2022-11-07 22:06:45.735,206590,196197,190471,200880,204963,193224,198709,194059,191216,164257,90710,264400,1585093,3.023
2022-11-07 22:07:00.135,205862,196914,190981,200778,203573,192055,198194,194082,191643,163538,89541,266716,1582439,2.001
2022-11-07 22:07:14.535,205803,197688,191538,201671,203599,193453,199507,195427,192300,163718,88566,269528,1588686,1.916
2022-11-07 22:07:28.935,195766,191248,183629,194598,194626,187693,193685,189322,185210,154169,80728,263534,1530567,1.809
2022-11-07 22:07:43.335,201158,192847,187411,196237,198254,188865,194584,190514,187684,159499,86517,262621,1549870,1.809
2022-11-07 22:07:57.735,199373,193293,186907,196603,198369,189203,195302,190644,187856,158219,84335,264421,1549694,1.724
2022-11-07 22:08:12.135,201154,194077,187520,196647,198785,189308,195346,191272,188248,159540,85809,263924,1554109,1.724
2022-11-07 22:08:26.535,192933,188664,182095,191803,192173,184618,190349,186128,182645,152831,80900,258720,1508763,1.596
2022-11-07 22:08:40.935,196896,190731,185043,193585,194668,186204,192086,187901,184992,155832,83290,260714,1527114,1.596
2022-11-07 22:08:55.335,166771,171534,158674,181964,172759,176014,184396,176015,157877,115424,51078,263512,1388127,1.511
2022-11-07 22:09:09.735,196639,192129,184912,194968,194604,188264,193186,189189,185880,155116,80887,263135,1533891,1.511
2022-11-07 22:09:24.135,191702,190605,181550,194931,192552,188077,193925,188847,183925,149366,74598,265686,1522189,1.405
2022-11-07 22:09:38.535,194444,191724,183937,195905,194411,188108,194385,189723,185500,153346,78823,264984,1532637,1.405
2022-11-07 22:09:52.935,157201,160273,149128,174980,165129,169136,179817,169986,140507,102310,46921,266409,1325650,0.681
2022-11-07 22:10:07.335,191170,189288,180257,194326,189750,186975,192443,187253,182835,148044,73600,264702,1511462,1.319
2022-11-07 22:10:21.735,187232,186987,177793,190893,188201,184414,190111,184687,180274,146522,73162,260130,1490318,1.319
2022-11-07 22:10:36.135,165550,171452,157815,182275,170831,176721,184285,176104,158443,114228,48879,262800,1385033,1.17
2022-11-07 22:10:50.535,184124,187284,178581,192955,187244,187020,192873,186553,180420,141564,66676,266663,1496634,1.17
2022-11-07 22:11:04.935,126956,129664,119036,149519,138689,140988,157217,145503,108440,77353,34257,260333,1107572,0.468
2022-11-07 22:11:19.335,179960,183586,172507,190184,181599,184918,189223,182776,175940,135439,61981,263827,1464753,1.128
2022-11-07 22:11:33.735,182702,186945,176292,193620,186754,187636,193273,187093,179555,138840,63686,268912,1494315,1.128
2022-11-07 22:11:48.135,164679,173464,159627,183550,171673,178961,185968,177418,161664,113622,45505,265091,1395340,0.979
2022-11-07 22:12:02.535,169096,176835,164692,186772,175275,182020,188206,180266,167898,120491,49228,265913,1423162,0.979
2022-11-07 22:12:16.935,205602,196265,190160,200300,201324,192033,197864,193331,191113,162410,87371,267137,1576879,1.617
2022-11-07 22:12:31.335,163816,169176,156105,180113,171211,174978,182422,173886,155864,112590,49393,262074,1371707,1.49
2022-11-07 22:12:45.735,195742,191363,183891,194999,193595,187110,192945,188518,185103,154147,80359,263314,1528163,1.49
2022-11-07 22:13:00.135,200155,195733,188128,199018,198754,191203,197789,193539,189667,158094,82573,269125,1564319,1.49
2022-11-07 22:13:14.535,195078,191246,184068,194301,193990,188036,193456,188929,185265,154570,81000,262992,1529104,1.49
2022-11-07 22:13:28.935,199806,192908,186695,196501,198549,189275,195015,190617,187408,157761,84168,264249,1549366,1.064
2022-11-07 22:13:43.335,206487,197274,191042,200941,203420,192635,198408,194041,191637,163755,89320,267841,1584248,2.022
2022-11-07 22:13:57.735,158202,169534,152605,179942,168251,175786,182820,174285,157164,107044,40705,262244,1361425,0.894
2022-11-07 22:14:12.135,159965,170054,152536,181232,166446,176682,183126,174052,157149,106617,40421,262075,1364093,0.894
2022-11-07 22:14:26.535,194704,189481,179820,195408,192296,189003,193845,188116,182812,148869,76125,265082,1522673,2.001
2022-11-07 22:14:40.935,193470,188985,181497,193762,193791,187031,193024,188027,182113,149746,77799,263672,1519587,0.808
2022-11-07 22:14:55.335,193624,188702,181172,193777,193295,186960,193037,187841,182091,149268,77233,264740,1518408,0.808
2022-11-07 22:15:09.735,204349,195758,189547,199570,201163,191771,197537,192938,190382,161784,87308,266677,1572633,1.809
2022-11-07 22:15:24.135,151526,162455,149023,176329,163259,172356,180086,169488,149385,97054,34996,260963,1324522,0.83
2022-11-07 22:15:38.535,154266,163558,149422,178685,161965,175589,181746,170938,149689,96118,33982,264874,1336169,0.83
2022-11-07 22:15:52.935,205131,196303,189472,200362,199991,192606,198102,193211,190891,160578,85493,268843,1575178,1.681
2022-11-07 22:16:07.335,196994,192619,186133,196167,196382,188975,194844,190509,186598,155784,81307,264771,1542623,1.49
2022-11-07 22:16:21.735,195028,191480,184801,194928,194109,187347,193020,188356,185331,154563,80743,263160,1529069,1.49
2022-11-07 22:16:36.135,199356,194432,188215,198141,197260,190901,196791,192255,188595,157375,82127,267899,1557351,1.49
2022-11-07 22:16:50.535,194663,190193,183661,194665,194269,187476,193347,188617,184583,153254,79559,263031,1526891,1.383
2022-11-07 22:17:04.935,202808,193858,188050,197344,199574,189030,195060,190600,188396,160876,87658,262772,1556324,1.979
2022-11-07 22:17:19.335,143360,156357,141112,172757,157124,170463,179217,167294,137298,81415,25623,266128,1287684,0.723
2022-11-07 22:17:33.735,143385,153936,138211,172917,151703,169789,177205,164777,134114,77997,23766,264732,1271923,0.723
2022-11-07 22:17:48.135,200017,191834,185508,196712,195125,189198,194000,189013,186965,156508,82508,264518,1541407,1.383
2022-11-07 22:18:02.535,193250,191164,182211,195984,192762,188912,194785,189230,184706,150379,75226,266145,1528298,1.319
2022-11-07 22:18:16.935,188276,186836,178969,191776,188361,184119,189954,184942,180611,147009,73832,260339,1493233,1.319
2022-11-07 22:18:31.335,193799,191039,186136,195329,194198,190275,195451,188524,185540,152359,77576,266257,1534751,1.319
2022-11-07 22:18:45.735,195932,193350,188823,197982,196346,191347,198048,190979,187948,154433,78376,268887,1552807,1.319
2022-11-07 22:19:00.135,189092,185964,182309,190900,190399,185609,191238,184137,181321,149188,75913,260207,1499648,1.319
2022-11-07 22:19:14.535,192190,188791,185101,193922,193417,188327,194593,187199,184225,151197,76608,264749,1523540,1.319
2022-11-07 22:19:28.935,186876,186895,182993,192175,190375,187926,193692,185100,181443,145773,71721,264379,1506032,1.064
2022-11-07 22:19:43.335,171809,178968,175775,187680,180774,183274,190532,177894,172064,128462,55629,265029,1446706,1.0
2022-11-07 22:19:57.735,172093,179656,175131,187317,179682,183516,190757,178414,172318,128542,55608,266097,1446566,1.0
2022-11-07 22:20:12.135,173977,181709,176678,189779,181211,185378,192773,180041,173896,129719,56399,268405,1461546,1.0
2022-11-07 22:20:26.535,170948,179034,173054,186223,178069,182270,189818,177038,170986,127368,54809,264062,1436454,1.0
2022-11-07 22:20:40.935,171088,179180,173916,186912,178791,182894,189683,177243,171407,127748,55266,264242,1439707,1.0
2022-11-07 22:20:55.335,171842,179818,174260,187616,179331,183032,190649,177919,172143,128302,55487,265045,1444467,1.0
2022-11-07 22:21:09.735,171697,179553,171683,188046,178993,183474,189952,178969,171700,126960,54595,266061,1442367,1.0
2022-11-07 22:21:24.135,171955,179138,164561,187710,176416,182362,188604,181443,169568,123460,51535,265957,1432189,1.0
2022-11-07 22:21:38.535,172423,181166,166194,189072,178888,184268,190655,183058,171092,124073,51937,268512,1445724,1.0
2022-11-07 22:21:52.935,171478,179253,164383,188271,177142,182937,189145,181454,169567,123375,51574,266257,1434063,1.0
2022-11-07 22:22:07.335,170465,178324,163287,186978,176267,181993,187590,180130,168371,122649,51223,264091,1425034,1.0
