Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-01 17:30:03.735,8608,8162,10034,6475,14381,14484,9605,11206,323,70,7,1076579,82955,1.507
2022-11-01 17:30:45.735,7859,8190,9904,5908,13479,14916,9415,10751,324,92,11,1066340,80422,1.503
2022-11-01 17:31:27.735,8802,8272,9772,6319,14019,15492,10171,11552,304,92,12,1078791,84399,1.5
2022-11-01 17:31:42.135,8681,8690,10395,6701,15233,15450,10291,11362,398,115,16,1094619,86803,1.5
2022-11-01 17:31:56.535,9302,8505,10203,6585,14833,15022,10463,11533,325,81,13,1071289,86446,1.501
2022-11-01 17:32:10.935,8899,8388,10409,6237,14438,15035,10116,12002,349,84,8,1065504,85524,1.501
2022-11-01 17:32:25.335,8498,8356,10147,6267,14556,14863,10223,11067,313,72,13,1094594,83977,1.501
2022-11-01 17:32:39.735,9443,8626,10512,6368,15256,16047,10767,11597,333,80,9,1108759,88616,1.501
2022-11-01 17:32:54.135,8132,8457,10458,6778,14675,14828,10447,12120,357,86,14,1090180,85895,1.501
2022-11-01 17:33:08.535,8843,8545,10227,6441,15068,16179,10716,11753,334,74,6,1099018,87772,1.501
2022-11-01 17:33:22.935,8714,8356,10225,6520,14860,15971,10636,12069,336,85,10,1108251,87351,1.501
2022-11-01 17:33:37.335,8162,8443,10219,6450,14346,15286,10715,12139,330,76,10,1095792,85760,1.505
2022-11-01 17:33:51.735,9706,8983,11716,7129,15463,16974,11542,12571,356,87,11,1117432,94084,1.507
2022-11-01 17:34:06.135,9186,8789,10489,6317,15188,15738,11161,12873,348,82,11,1112010,89741,1.509
2022-11-01 17:34:20.535,8959,8472,10792,6654,15243,16137,10696,13194,336,102,17,1096434,90147,1.512
2022-11-01 17:34:34.935,8554,8882,10313,6715,15044,16237,11632,12426,345,90,13,1117449,89803,1.514
2022-11-01 17:34:49.335,8919,8673,10597,6620,14296,15789,11262,11869,321,70,10,1105354,88025,1.517
2022-11-01 17:35:03.735,8482,8229,10131,6372,14124,15377,10812,12279,316,74,13,1086273,85806,1.518
2022-11-01 17:35:18.135,8810,8551,10666,6708,15766,17062,11252,12804,359,78,15,1105732,91619,1.52
2022-11-01 17:35:32.535,8718,8398,9931,6416,14912,15353,11141,12504,302,69,11,1107776,87373,1.524
2022-11-01 17:35:46.935,9107,8730,10797,6594,15331,16076,11289,12443,324,73,12,1090331,90367,1.526
2022-11-01 17:36:01.335,9024,8725,10612,7162,15704,16328,11351,12787,371,98,12,1103969,91693,1.527
2022-11-01 17:36:15.735,8685,8945,10805,6874,15127,15974,11402,12076,342,96,10,1095967,89888,1.529
2022-11-01 17:36:30.135,8809,8273,10227,6418,15243,14748,10868,12498,327,77,8,1073727,87084,1.533
2022-11-01 17:36:44.535,9011,9013,10381,7192,15107,15705,11657,12749,353,97,15,1101092,90815,1.534
2022-11-01 17:36:58.935,9398,9092,11182,6965,15553,15595,11309,13233,359,93,16,1109128,92327,1.535
2022-11-01 17:37:13.335,9267,8938,10817,6716,15435,15158,11434,12832,328,75,15,1089624,90597,1.539
2022-11-01 17:37:27.735,8843,8945,10211,6831,15262,16231,11831,12616,310,81,10,1090617,90770,1.54
2022-11-01 17:37:42.135,9179,9059,10854,7148,15821,16552,12465,13473,347,89,11,1096333,94551,1.543
2022-11-01 17:37:56.535,8722,8570,10548,7267,15324,16259,11641,12281,338,82,12,1072069,90612,1.545
2022-11-01 17:38:10.935,9484,8639,10442,7496,16094,16166,12530,13559,317,83,7,1086153,94410,1.547
2022-11-01 17:38:25.335,9346,9186,11224,7551,16496,16302,12780,13903,348,97,10,1093665,96788,1.548
2022-11-01 17:38:39.735,9684,9458,10823,7536,16354,16901,12514,13847,346,91,12,1082524,97117,1.552
2022-11-01 17:38:54.135,9357,9876,11072,7894,17451,16797,13060,14507,352,78,15,1077458,100014,1.553
2022-11-01 17:39:08.535,9425,9173,10842,8073,16863,16367,13067,14442,311,85,20,1087214,98252,1.555
2022-11-01 17:39:22.935,9678,9688,10806,8147,17264,17108,12844,14403,316,84,15,1072924,99938,1.558
2022-11-01 17:39:37.335,9649,9836,10813,8497,18185,17969,13951,15100,331,90,9,1089717,104000,1.56
2022-11-01 17:39:51.735,9679,9704,11353,8232,17447,17558,13525,14772,304,81,13,1089171,102270,1.561
2022-11-01 17:40:06.135,10108,10284,11746,8791,17561,17520,13598,14838,347,89,8,1078089,104446,1.565
2022-11-01 17:40:20.535,10291,10490,11353,9196,19360,17854,14390,15120,341,76,9,1097749,108054,1.566
2022-11-01 17:40:34.935,10527,11167,12280,9057,19209,18822,14478,16242,344,91,12,1106112,111782,1.568
2022-11-01 17:40:49.335,10679,10945,12163,9559,19438,18359,14689,15608,324,86,7,1077071,111440,1.571
2022-11-01 17:41:03.735,10508,10813,11639,9199,19765,19201,14118,15741,305,76,12,1085050,110984,1.573
2022-11-01 17:41:18.135,10790,11385,12050,9579,20673,19084,15036,16117,355,77,13,1102531,114714,1.575
2022-11-01 17:41:32.535,10740,11163,11912,9563,20196,18698,14123,16059,348,78,12,1082716,112454,1.577
2022-11-01 17:41:46.935,10794,11374,11959,9748,20540,19454,14444,15827,333,76,13,1097972,114140,1.579
2022-11-01 17:42:01.335,11069,11487,12762,10235,20745,19664,15334,16355,341,81,12,1092417,117651,1.581
2022-11-01 17:42:15.735,10809,11601,12384,9681,20708,20011,14892,15947,341,82,6,1083228,116033,1.584
2022-11-01 17:42:30.135,11154,11831,12896,10220,20845,20003,15412,16601,329,90,18,1100332,118962,1.585
2022-11-01 17:42:44.535,11507,12261,12473,10048,21134,20423,15025,15907,309,71,10,1084145,118778,1.589
2022-11-01 17:42:58.935,11091,12016,12520,9963,19933,19946,14876,15749,321,67,8,1067872,116094,1.591
2022-11-01 17:43:13.335,11475,12391,12813,10178,20988,19810,15245,16248,314,69,8,1068596,119148,1.592
2022-11-01 17:43:27.735,10932,11443,12035,10147,20572,21362,14803,15388,321,87,11,1072770,116682,1.595
2022-11-01 17:43:42.135,11433,12053,12561,10239,21097,19657,14876,16087,308,73,8,1078459,118003,1.596
2022-11-01 17:43:56.535,11505,12213,13162,10575,21457,20580,15045,16141,327,90,10,1086970,120678,1.6
2022-11-01 17:44:10.935,11545,12129,12972,10505,21193,19933,14869,16526,303,81,12,1088703,119672,1.601
