Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Diaphragm
2022-11-07 18:05:31.335,61194,60004,58136,63769,64755,66332,62303,59868,55985,42188,19106,263200,496361,1.405
2022-11-07 18:05:58.935,65729,62999,62292,66125,67616,66815,63851,62569,59563,48687,24390,262765,517996,1.979
2022-11-07 18:06:26.535,65624,63099,62848,66010,68003,66911,63631,62900,59640,48737,24601,260464,519026,1.979
2022-11-07 18:06:54.135,61634,61143,59196,64217,66071,65836,62968,61340,57469,44202,20079,262081,502405,1.916
2022-11-07 18:07:21.735,65328,63490,62508,66547,68547,67195,64133,63619,59967,48896,24179,264300,521367,1.916
2022-11-07 18:07:49.335,65043,62896,62460,65822,68023,66730,63637,63365,59456,48499,24218,262196,517976,1.916
2022-11-07 18:08:16.935,72676,67357,70303,73080,76957,75489,67694,67815,61745,52808,28806,263757,571371,4.981
2022-11-07 18:08:44.535,78457,70312,76189,79765,85334,82619,70253,71387,61289,52552,28841,261079,614316,9.984
2022-11-07 18:09:12.135,192538,177032,202250,191536,206195,165269,165305,205338,111794,70815,34165,259517,1505463,15.008
2022-11-07 18:09:39.735,263781,259819,257452,258782,268504,252191,262889,256181,254241,206505,102263,262411,2079599,18.989
2022-11-07 18:10:07.335,261814,259097,256549,256883,266723,249854,262071,255758,253006,205810,103051,260586,2068749,18.01
2022-11-07 18:10:34.935,259493,258125,256250,256005,262797,249545,261377,255225,251484,201681,98791,261371,2058817,16.988
2022-11-07 18:11:02.535,246040,244777,249499,243926,243411,236810,244976,248412,232277,168236,72863,261566,1957851,15.966
2022-11-07 18:11:30.135,191938,176518,203141,191360,200169,166245,164627,205769,111134,70316,33915,258614,1499767,15.008
2022-11-07 18:11:57.735,114828,88021,105032,111634,139516,95333,84638,105224,70334,59798,32254,261634,844226,13.986
2022-11-07 18:12:25.335,88030,77805,83577,89242,91266,90960,78167,78342,69401,58849,31801,257370,677389,12.986
2022-11-07 18:12:52.935,87243,78639,84723,89076,89563,91401,78749,79087,69902,58361,31125,262318,678481,11.985
2022-11-07 18:13:20.535,83612,74852,81431,84921,87225,86824,73997,76192,63061,52899,29006,262206,649054,11.006
2022-11-07 18:13:48.135,78752,69795,75899,79684,83791,83232,69724,70604,61113,52332,28376,260448,611481,10.005
2022-11-07 18:14:15.735,76073,68509,73835,77363,79865,81030,68562,68378,60335,51379,28111,260295,593615,9.005
2022-11-07 18:14:43.335,75490,68072,73086,76480,79163,80015,68323,67857,60721,51677,27926,259667,588486,8.004
2022-11-07 18:15:10.935,74987,67960,72338,75490,78208,78585,68313,67814,61158,52279,28589,262128,583695,7.004
2022-11-07 18:15:38.535,73919,67402,71225,74570,77605,77271,67827,67585,61432,52433,28500,263308,577404,6.003
2022-11-07 18:16:06.135,72156,65872,68780,71840,74700,74046,66335,65735,60454,51801,28147,259530,559464,5.002
2022-11-07 18:16:33.735,72155,66663,69001,72002,75066,73139,67085,66883,61959,52973,28975,265008,561994,4.002
2022-11-07 18:17:01.335,69238,64304,65527,68337,70882,69285,64574,63805,60095,51407,28090,257589,535952,3.001
2022-11-07 18:17:28.935,66129,63724,63948,66667,69077,67731,64367,64084,60366,49658,25310,262135,525727,2.022
2022-11-07 18:17:56.535,64782,62833,62748,66299,68055,66949,63857,63372,59539,48341,23630,261454,518895,1.873
2022-11-07 18:18:24.135,64266,62322,62067,65410,67145,66181,63349,62783,59157,47861,23422,260368,513523,1.873
2022-11-07 18:18:51.735,62992,61288,60321,64139,65675,65270,62484,61655,57964,46270,22226,257624,503824,1.788
2022-11-07 18:19:19.335,62494,61596,60337,64761,66241,66292,63145,62344,58375,45587,21259,262356,507210,1.703
2022-11-07 18:19:46.935,61391,60792,58914,63956,65370,65156,62810,61659,57748,44284,19821,260792,500048,1.617
2022-11-07 18:20:14.535,59172,59559,56906,62697,63883,64808,61728,60469,55942,41536,17552,258474,489222,1.511
2022-11-07 18:20:42.135,57769,58539,55293,62288,62837,63624,61250,59036,54639,39126,15741,259688,480636,1.426
2022-11-07 18:21:09.735,54466,55933,52759,60345,60623,62216,60577,57296,51638,34128,11902,260837,464215,1.277
2022-11-07 18:21:37.335,55337,56020,52560,59824,60269,62920,60670,57574,51733,33984,12190,263560,465174,1.277
2022-11-07 18:22:04.935,52756,54302,49641,58129,58371,61489,59190,55430,48886,30716,10026,258559,449308,1.213
2022-11-07 18:22:32.535,49793,52065,46854,56815,56379,60255,58376,53471,45579,26526,8086,259573,434008,1.128
2022-11-07 18:23:00.135,45626,47821,42799,53739,52349,58550,56682,50139,37903,18574,4449,261586,407705,0.979
2022-11-07 18:23:27.735,46250,48604,43335,54343,53380,60049,57506,50727,38211,18578,4462,265009,414194,0.979
2022-11-07 18:23:55.335,45699,47604,42065,53758,51758,58373,55860,49526,37355,18119,4301,261981,404643,0.979
2022-11-07 18:24:22.935,45569,47508,42205,53553,51586,58200,56279,49438,37131,17955,4283,261746,404338,0.979
2022-11-07 18:24:50.535,64002,61950,60101,65781,65477,66650,63271,61575,58802,46121,21529,262681,508807,1.788
2022-11-07 18:25:18.135,41206,43228,38648,50102,48528,55854,53958,46847,30437,12912,2665,261754,378371,0.872
2022-11-07 18:25:45.735,58263,58228,54887,62219,61859,63196,60948,58185,54325,38293,14939,261514,477785,1.426
2022-11-07 18:26:13.335,57663,57559,54800,61423,62072,63502,60999,58337,54091,38343,15004,261357,476355,1.426
2022-11-07 18:26:40.935,58170,58408,55261,62251,62727,63830,61743,58855,54981,39019,15529,262517,481245,1.426
2022-11-07 18:27:08.535,58107,58435,54923,62134,63101,64180,61528,58906,54688,38926,15654,262945,481314,1.426
2022-11-07 18:27:36.135,70048,65256,66247,69642,71439,70828,65706,64911,61153,51961,28012,263810,544077,3.001
2022-11-07 18:28:03.735,43223,45512,41635,51411,52199,56883,55625,48598,34357,15472,3315,263690,395086,0.894
2022-11-07 18:28:31.335,43588,45598,40824,51761,51114,57667,55728,47908,33415,14930,3203,263505,394188,0.894
2022-11-07 18:28:58.935,41962,44074,39430,51034,49286,56119,54657,46115,30793,13066,2590,264222,382677,0.872
2022-11-07 18:29:26.535,42437,44206,38947,50796,48669,56972,54433,45879,30512,12738,2512,264718,382339,0.872
2022-11-07 18:29:54.135,66310,62918,62093,66670,66866,67395,63255,62059,59561,48370,24202,262597,517566,2.022
2022-11-07 18:30:21.735,38263,39902,36052,48134,46440,53971,52812,43689,23703,8569,1414,267050,359263,0.766
2022-11-07 18:30:49.335,65994,62692,62441,66211,67228,67490,63046,62264,59498,48465,24178,263021,517366,2.022
